license_id,brand_name,ingredient,drugbank_id,potential_indication,similar_drug,similarity_score,source
SIN15608P,CABOMETYX FILM COATED TABLET 60MG,CABOZANTINIB,DB08875,myiasis,SULFADIAZINE,0.5,KG (target similarity)
SIN15608P,CABOMETYX FILM COATED TABLET 60MG,CABOZANTINIB,DB08875,chorioretinitis (disease),SULFADIAZINE,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,staphylococcus aureus infection,DIRITHROMYCIN,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,acute neonatal citrullinemia type i,GLYCEROL PHENYLBUTYRATE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,lingual-facial-buccal dyskinesia,VALBENAZINE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,tardive dyskinesia (disease),VALBENAZINE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,obsolete hodgkin's granuloma,LOMUSTINE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,hodgkins lymphoma,LOMUSTINE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,brain neoplasm,LOMUSTINE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,classic hodgkin lymphoma,LOMUSTINE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,"classic hodgkin lymphoma, lymphocyte-rich type",LOMUSTINE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,hodgkin's paragranuloma,LOMUSTINE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,brain cancer,LOMUSTINE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,diabetes mellitus (disease),ALOGLIPTIN,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,type 2 diabetes mellitus,ALOGLIPTIN,0.5,KG (target similarity)
SIN00440P,APO-METOPROLOL TABLET 100 mg,METOPROLOL TARTRATE,DB00264,ocular hypertension,METIPRANOLOL,0.5,KG (target similarity)
SIN00440P,APO-METOPROLOL TABLET 100 mg,METOPROLOL TARTRATE,DB00264,open-angle glaucoma,METIPRANOLOL,0.5,KG (target similarity)
SIN14634P,DIPHERELINE P.R. POWDER AND SOLVENT FOR SUSPENSION FOR INJECTION 3.75 mg/vial,TRIPTORELIN,DB06825,amenorrhea (disease),GONADORELIN,0.5,KG (target similarity)
SIN16280P,IMCIL POWDER FOR SOLUTION FOR INJECTION OR INFUSION 500MG/500MG PER VIAL,CILASTATIN,DB01597,acute gonococcal cervicitis,CEFTIZOXIME,0.5,KG (target similarity)
SIN16280P,IMCIL POWDER FOR SOLUTION FOR INJECTION OR INFUSION 500MG/500MG PER VIAL,CILASTATIN,DB01597,staphylococcal pneumonia,CEFTIZOXIME,0.5,KG (target similarity)
SIN16280P,IMCIL POWDER FOR SOLUTION FOR INJECTION OR INFUSION 500MG/500MG PER VIAL,CILASTATIN,DB01597,meningitis (disease),CEFTIZOXIME,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,carbamoyl phosphate synthetase i deficiency disease,GLYCEROL PHENYLBUTYRATE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,hyperargininemia,GLYCEROL PHENYLBUTYRATE,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,mycotic corneal ulcer,NATAMYCIN,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,citrin deficiency,GLYCEROL PHENYLBUTYRATE,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,esophageal candidiasis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,candidiasis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,disseminated sporotrichosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,gingivitis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,candidemia,AMPHOTERICIN B,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,anthrax infection,AMPHOTERICIN B,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,zygomycosis,AMPHOTERICIN B,0.5,KG (target similarity)
