license_id,brand_name,ingredient,drugbank_id,potential_indication,similar_drug,similarity_score,source
SIN15260P,BEPRAZ GASTRO RESISTANT TABLETS 10MG,RABEPRAZOLE SODIUM,DB01129,asthma,ZAFIRLUKAST,0.5,KG (target similarity)
SIN15260P,BEPRAZ GASTRO RESISTANT TABLETS 10MG,RABEPRAZOLE SODIUM,DB01129,allergic asthma,ZAFIRLUKAST,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,pulmonary hypertension,TADALAFIL,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,benign prostatic hyperplasia (disease),TADALAFIL,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,acute gonococcal cervicitis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,visceral leishmaniasis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,actinomycetales infectious disease,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,trypanosomiasis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,necrotizing ulcerative gingivitis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,fungal meningitis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,granuloma inguinale,AMPHOTERICIN B,0.5,KG (target similarity)
SIN14089P,Clarie OD Tablets 500mg,CLARITHROMYCIN,DB01211,chronic hepatitis c virus infection,PARITAPREVIR,0.5,KG (target similarity)
SIN14089P,Clarie OD Tablets 500mg,CLARITHROMYCIN,DB01211,hepatitis c virus infection,PARITAPREVIR,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,ornithosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,oral candidiasis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,zygomycosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,anthrax infection,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,candidemia,AMPHOTERICIN B,0.5,KG (target similarity)
SIN09666P,TONIN COUGH SYRUP S,GUAIFENESIN,DB00874,dysthymic disorder,ESKETAMINE,0.5,KG (target similarity)
SIN09666P,TONIN COUGH SYRUP S,GUAIFENESIN,DB00874,neurotic disorder,ESKETAMINE,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,black piedra,AMPHOTERICIN B,0.5,KG (target similarity)
SIN09666P,TONIN COUGH SYRUP S,GUAIFENESIN,DB00874,anxiety disorder,ESKETAMINE,0.5,KG (target similarity)
